id,group_name
1,ADMIN
2,USER
15,"Vehicle Visibility"
16,"DFY Operations"
17,"Document management"
18,test
19,test2
20,XM
21,AES
22,TRANS
23,DEALERVISIBILITY
24,pqr
25,REPORTS
26,TOOLS
27,"MEXICO DEALERVISIBILITY"
28,LAZARDO
29,ALTAMIRA
30,INVOICENOTFINAL
31,GMCC
32,RMO
33,MULTI_VIN
34,123
35,ROLE_123
36,ROLE_12388
37,"MANUFACTURER VISIBILITY"
38,SPECIAL_MOVE
