sub_group_id,username
1001,bikram
15002,alexey
15001,alexey
15002,bikram
15003,bikram
15004,bikram
25001,bikram
25002,bikram
25003,alexey
22001,bikram
22002,bikram
22003,bikram
15002,caszaly
15001,caszaly
15002,caszaly
15003,CZGMTB
15004,CZGMTB
25001,CZGMTB
25002,CZGMTB
25003,CZGMTB
22001,dtatarek
22002,dtatarek
22003,dtatarek
15002,dtatarek
15001,dtatarek
15002,dtatarek
15003,dtatarek
15004,dtatarek
25001,dtatarek
